Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Amount,Merchant,Merchant_Category,Location,Transaction_Type,Payment_Method,Device_Type,Customer_Age,Account_Age,Previous_Transactions,Failed_Transactions,Transaction_Frequency,International_Transaction,Fraud
TXN00000027,CUST01117,2023-09-03,07:52:24,14.62,Apple Store,Electronics,"San Jose, CA",Transfer,Credit Card,POS Terminal,55,99,166,8,20,No,1
TXN00000028,CUST00860,2024-03-05,17:26:00,55.4,Walmart,Retail,"Houston, TX",Purchase,PayPal,Tablet,19,110,235,11,29,No,0
TXN00000029,CUST00452,2023-02-19,07:55:22,1023.47,Best Buy,Electronics,"Philadelphia, PA",Withdrawal,Debit Card,ATM,77,77,259,5,35,No,1
TXN00000030,CUST00920,2023-07-28,01:03:53,61.24,Shell Gas,Gas & Fuel,"Houston, TX",Purchase,Credit Card,Mobile,38,103,191,18,16,No,0
TXN00000031,CUST01207,2024-05-18,13:11:35,173.27,Walmart,Retail,"Seattle, WA",Withdrawal,Credit Card,Mobile,50,106,201,15,48,No,0
TXN00000032,CUST00570,2023-11-21,00:00:20,277.21,Unknown Merchant,Unknown,"Houston, TX",Purchase,PayPal,Mobile,29,109,261,13,7,No,1
TXN00000033,CUST00014,2024-01-03,15:39:33,109.76,Walmart,Retail,"Miami, FL",Purchase,Crypto,Mobile,75,112,184,3,40,No,0
TXN00000034,CUST00327,2023-04-01,19:56:00,779.7,Amazon,E-commerce,"Las Vegas, NV",Transfer,Debit Card,Desktop,39,58,157,17,36,No,0
TXN00000035,CUST01430,2024-01-20,07:31:54,160.3,Amazon,E-commerce,International - Mexico,Purchase,PayPal,Mobile,78,78,245,9,44,Yes,0
TXN00000036,CUST00866,2024-04-28,15:54:27,350.28,Bank Transfer,Money Transfer,"Miami, FL",Subscription,Credit Card,Desktop,61,75,109,17,44,No,0
TXN00000037,CUST00697,2024-05-16,21:39:53,243.66,PayPal,Money Transfer,"Philadelphia, PA",Subscription,Credit Card,Mobile,42,42,98,11,31,No,0
TXN00000038,CUST00570,2023-09-27,08:09:05,41.35,Chase ATM,ATM,International - UK,Purchase,Credit Card,Desktop,66,166,240,18,42,Yes,0
TXN00000039,CUST00319,2023-12-15,05:23:27,65.04,Venmo Transfer,Money Transfer,"San Diego, CA",Transfer,Gift Card,Mobile,44,68,490,7,44,No,0
TXN00000040,CUST00441,2024-06-25,18:36:41,400.61,Netflix,Subscription,"Miami, FL",Transfer,Crypto,POS Terminal,76,33,201,0,43,No,1
TXN00000041,CUST00690,2023-12-05,19:55:00,14.42,McDonald's,Food & Beverage,"Atlanta, GA",Transfer,Credit Card,Mobile,59,71,121,13,43,No,0
TXN00000042,CUST00210,2023-01-17,03:52:09,217.89,McDonald's,Food & Beverage,"San Diego, CA",Transfer,Crypto,POS Terminal,45,56,116,5,47,No,0
TXN00000043,CUST00190,2023-05-06,07:28:23,98.11,Venmo Transfer,Money Transfer,"Denver, CO",Purchase,PayPal,Mobile,77,105,95,13,6,No,0
TXN00000044,CUST00779,2023-08-12,16:54:36,69.54,Walmart,Retail,"Dallas, TX",Withdrawal,Debit Card,Mobile,33,101,233,1,29,No,0
TXN00000045,CUST00199,2023-05-30,06:53:30,88.28,Airbnb,Travel,"Atlanta, GA",Purchase,PayPal,Tablet,32,51,489,8,27,No,0
TXN00000046,CUST00736,2023-12-31,11:16:32,849.31,Target,Retail,"Miami, FL",Refund,Debit Card,POS Terminal,79,74,66,11,43,No,0
TXN00000047,CUST00705,2023-09-25,01:46:47,619.92,Netflix,Subscription,International - UK,Withdrawal,Debit Card,Desktop,79,171,375,4,2,Yes,0
TXN00000048,CUST01237,2023-12-07,06:58:30,28.15,Chase ATM,ATM,"San Jose, CA",Purchase,Credit Card,Mobile,64,121,217,1,22,No,0
TXN00000049,CUST00542,2023-06-30,06:42:56,11.87,Best Buy,Electronics,International - Canada,Purchase,Bank Transfer,POS Terminal,79,143,14,18,9,Yes,0
TXN00000050,CUST00089,2024-01-30,07:01:11,59.2,PayPal,Money Transfer,"San Jose, CA",Withdrawal,Credit Card,Mobile,68,166,272,6,11,No,0
TXN00000051,CUST01495,2023-06-20,15:32:54,57.42,Uber,Transportation,"Atlanta, GA",Purchase,Debit Card,POS Terminal,61,143,218,6,16,No,0
TXN00000052,CUST00941,2024-04-01,10:45:08,147.33,Netflix,Subscription,"Boston, MA",Purchase,PayPal,Desktop,72,5,273,9,45,No,0
TXN00000053,CUST01099,2024-06-16,00:50:32,68.35,Starbucks,Food & Beverage,"Chicago, IL",Purchase,Credit Card,Mobile,69,83,370,16,13,No,0
TXN00000054,CUST00256,2023-09-21,10:16:12,208.75,McDonald's,Food & Beverage,International - Mexico,Transfer,Credit Card,Tablet,74,51,146,13,18,Yes,1
TXN00000055,CUST00776,2024-04-12,15:57:35,47.22,CVS Pharmacy,Healthcare,"Boston, MA",Transfer,Credit Card,POS Terminal,20,10,331,10,25,No,0
TXN00000056,CUST00162,2024-05-25,06:35:14,1505.58,Shell Gas,Gas & Fuel,"San Diego, CA",Purchase,Credit Card,POS Terminal,54,140,343,19,33,No,0
TXN00000057,CUST01131,2023-12-30,20:51:47,254.15,Best Buy,Electronics,"Chicago, IL",Refund,Debit Card,Tablet,68,4,452,5,10,No,0
TXN00000058,CUST00601,2023-04-12,20:58:22,225.61,Netflix,Subscription,"New York, NY",Transfer,Credit Card,POS Terminal,24,95,151,7,30,No,0
TXN00000059,CUST01288,2023-08-16,21:15:40,83.96,Netflix,Subscription,"Miami, FL",Withdrawal,Crypto,Tablet,38,146,346,18,49,No,1
TXN00000060,CUST01267,2023-10-31,05:02:49,34.63,Unknown Merchant,Unknown,"San Antonio, TX",Subscription,Debit Card,Desktop,26,80,303,18,1,No,0
TXN00000061,CUST00741,2023-11-20,18:51:13,90.37,Shell Gas,Gas & Fuel,"Phoenix, AZ",Transfer,Crypto,Mobile,56,36,413,16,33,No,0
TXN00000062,CUST01183,2024-06-06,19:37:45,95.18,Apple Store,Electronics,"San Antonio, TX",Transfer,PayPal,Desktop,35,25,14,17,49,No,0
TXN00000063,CUST00394,2024-05-21,19:29:06,68.97,Venmo Transfer,Money Transfer,International - UK,Purchase,Credit Card,Desktop,21,98,430,11,15,Yes,1
TXN00000064,CUST01443,2023-10-07,19:39:01,80.12,Home Depot,Home Improvement,"Las Vegas, NV",Transfer,Bank Transfer,ATM,42,164,378,8,29,No,0
TXN00000065,CUST00143,2024-01-02,20:46:23,328.7,Bank Transfer,Money Transfer,"Houston, TX",Purchase,PayPal,Desktop,77,101,485,15,2,No,0
TXN00000066,CUST00094,2023-05-06,20:22:44,113.24,PayPal,Money Transfer,"Los Angeles, CA",Transfer,Debit Card,Desktop,31,9,382,17,11,No,0
TXN00000067,CUST01355,2024-04-27,23:58:55,174.08,Venmo Transfer,Money Transfer,"Atlanta, GA",Refund,Credit Card,Mobile,67,61,427,15,34,No,0
TXN00000068,CUST00467,2023-06-10,22:38:53,226.8,Apple Store,Electronics,"Philadelphia, PA",Withdrawal,Gift Card,Mobile,75,53,353,15,41,No,0
TXN00000069,CUST00593,2023-08-08,09:23:02,14.91,Starbucks,Food & Beverage,"Boston, MA",Refund,Gift Card,Mobile,26,146,410,3,19,No,0
TXN00000070,CUST00164,2024-06-20,11:32:07,39.15,Netflix,Subscription,"Dallas, TX",Purchase,Credit Card,POS Terminal,43,171,83,6,2,No,0
TXN00000071,CUST00477,2023-03-08,22:44:00,869.0,Google Play,Subscription,"Miami, FL",Purchase,Debit Card,Desktop,70,163,191,0,48,No,0
TXN00000072,CUST00207,2024-06-02,02:50:00,1353.28,Amazon,E-commerce,"San Jose, CA",Purchase,Credit Card,Mobile,19,63,40,19,20,No,1
TXN00000073,CUST00779,2024-01-11,01:43:03,395.29,Walmart,Retail,"Houston, TX",Transfer,Debit Card,Mobile,37,121,351,0,41,No,0
TXN00000074,CUST00570,2023-04-11,06:32:03,75.7,Chase ATM,ATM,"Atlanta, GA",Transfer,Credit Card,POS Terminal,45,105,323,7,31,No,0
TXN00000075,CUST00929,2023-05-15,14:22:49,202.72,Target,Retail,"Seattle, WA",Purchase,Bank Transfer,Desktop,64,4,260,7,4,No,1
TXN00000076,CUST01302,2023-06-04,22:39:19,552.59,Unknown Merchant,Unknown,International - Unknown,Purchase,PayPal,Tablet,77,93,308,9,29,Yes,0
TXN00000077,CUST00748,2023-05-02,09:54:21,1124.73,Target,Retail,"Miami, FL",Refund,Credit Card,Mobile,24,169,377,0,30,No,0
TXN00000078,CUST00334,2024-04-15,11:58:47,30.57,Google Play,Subscription,"Atlanta, GA",Transfer,Crypto,Mobile,61,173,135,13,13,No,1
TXN00000079,CUST00759,2024-01-18,07:00:25,155.23,McDonald's,Food & Beverage,"New York, NY",Refund,Debit Card,Desktop,78,178,277,13,15,No,0
TXN00000080,CUST00728,2023-03-20,08:58:54,82.51,Shell Gas,Gas & Fuel,"New York, NY",Purchase,Debit Card,Mobile,25,28,105,9,20,No,0
TXN00000081,CUST00430,2023-11-20,02:30:37,245.49,Shell Gas,Gas & Fuel,"Seattle, WA",Purchase,Credit Card,POS Terminal,64,170,6,18,34,No,0
TXN00000082,CUST01373,2024-01-19,11:42:09,129.38,Starbucks,Food & Beverage,"Houston, TX",Transfer,Credit Card,POS Terminal,52,80,405,15,28,No,0
TXN00000083,CUST00547,2023-08-24,20:28:53,36.58,Netflix,Subscription,"Boston, MA",Transfer,Debit Card,Desktop,31,76,301,8,20,No,0
TXN00000084,CUST01438,2023-07-02,07:28:39,195.15,Home Depot,Home Improvement,"Phoenix, AZ",Transfer,Debit Card,Desktop,34,116,29,19,25,No,0
TXN00000085,CUST01400,2023-06-12,16:06:46,52.67,Bank Transfer,Money Transfer,"Seattle, WA",Purchase,Credit Card,Mobile,53,69,125,15,27,No,0
TXN00000086,CUST01328,2024-03-08,12:04:23,116.46,Apple Store,Electronics,"Dallas, TX",Subscription,PayPal,Desktop,67,98,356,19,30,No,0
TXN00000087,CUST00147,2023-02-06,13:03:47,123.36,Apple Store,Electronics,"San Diego, CA",Purchase,Debit Card,POS Terminal,57,1,399,7,41,No,0
TXN00000088,CUST01248,2023-01-15,01:58:43,920.07,Google Play,Subscription,"Philadelphia, PA",Purchase,Gift Card,Mobile,21,167,78,6,20,No,0
TXN00000089,CUST01301,2023-10-06,16:16:11,178.54,Shell Gas,Gas & Fuel,"Los Angeles, CA",Purchase,Gift Card,Mobile,19,96,388,10,1,No,1
TXN00000090,CUST00351,2023-07-22,13:48:49,121.85,Google Play,Subscription,"Boston, MA",Withdrawal,Debit Card,Mobile,79,17,66,5,35,No,0
TXN00000091,CUST01094,2023-10-05,07:46:48,289.78,Chase ATM,ATM,"New York, NY",Refund,Bank Transfer,Mobile,23,112,22,14,49,No,0
TXN00000092,CUST01494,2024-06-09,18:50:59,42.06,Apple Store,Electronics,"Chicago, IL",Transfer,Credit Card,Mobile,71,91,188,18,43,No,1
TXN00000093,CUST00502,2023-05-04,04:37:12,137.16,CVS Pharmacy,Healthcare,"Los Angeles, CA",Purchase,Debit Card,Tablet,59,88,73,13,24,No,0
TXN00000094,CUST00335,2023-05-16,16:55:11,260.16,CVS Pharmacy,Healthcare,International - Mexico,Purchase,Credit Card,Mobile,21,163,4,14,25,Yes,0
TXN00000095,CUST00947,2024-01-27,01:31:37,246.3,Shell Gas,Gas & Fuel,"San Jose, CA",Purchase,Debit Card,Mobile,71,174,406,5,40,No,0
TXN00000096,CUST00778,2023-01-25,19:57:50,64.36,Amazon,E-commerce,"Chicago, IL",Transfer,PayPal,Mobile,46,170,462,9,12,No,0
TXN00000097,CUST00553,2023-02-19,10:48:45,188.05,Venmo Transfer,Money Transfer,"New York, NY",Purchase,Credit Card,Desktop,35,167,81,13,11,No,0
TXN00000098,CUST01311,2023-09-20,07:49:55,390.45,Venmo Transfer,Money Transfer,"San Antonio, TX",Withdrawal,PayPal,Desktop,43,90,24,15,30,No,0
TXN00000099,CUST01410,2023-12-01,11:20:50,41.01,CVS Pharmacy,Healthcare,"Chicago, IL",Purchase,Credit Card,ATM,61,49,263,12,13,No,1
TXN00000100,CUST01141,2023-03-30,12:32:29,348.4,Venmo Transfer,Money Transfer,"Seattle, WA",Withdrawal,Bank Transfer,Desktop,51,38,478,10,47,No,0
TXN00000101,CUST00450,2024-04-24,16:12:26,82.52,Netflix,Subscription,"Las Vegas, NV",Transfer,Debit Card,Desktop,27,151,404,2,25,No,0
TXN00000102,CUST01403,2023-06-26,01:48:45,1989.1,Unknown Merchant,Unknown,"Atlanta, GA",Purchase,Debit Card,Mobile,79,150,1,7,25,No,0
TXN00000103,CUST00665,2023-04-04,17:47:16,49.52,PayPal,Money Transfer,"Dallas, TX",Transfer,Debit Card,Mobile,53,132,277,2,17,No,0
TXN00000104,CUST00115,2024-03-12,12:05:36,179.5,Chase ATM,ATM,"Houston, TX",Purchase,Debit Card,Mobile,31,177,327,1,12,No,0
TXN00000105,CUST00470,2023-06-24,01:26:43,79.55,Home Depot,Home Improvement,"Denver, CO",Transfer,PayPal,Tablet,48,59,342,13,11,No,0
TXN00000106,CUST00066,2024-01-13,18:30:22,39.45,Venmo Transfer,Money Transfer,"Phoenix, AZ",Transfer,PayPal,Desktop,65,68,223,19,10,No,0
TXN00000107,CUST00647,2023-07-20,06:09:10,280.76,Google Play,Subscription,"San Jose, CA",Refund,Credit Card,Mobile,32,130,71,14,17,No,0
TXN00000108,CUST00822,2023-09-22,08:06:11,22.35,Google Play,Subscription,"Miami, FL",Subscription,Debit Card,Tablet,25,49,67,2,45,No,0
TXN00000109,CUST00549,2023-10-03,22:10:18,686.93,Apple Store,Electronics,"Houston, TX",Purchase,Debit Card,POS Terminal,31,126,319,0,16,No,0
TXN00000110,CUST00136,2023-02-06,06:06:37,34.91,Unknown Merchant,Unknown,International - UK,Transfer,Credit Card,Mobile,40,159,93,14,20,Yes,0
TXN00000111,CUST00433,2024-03-08,15:38:57,54.67,PayPal,Money Transfer,"New York, NY",Subscription,PayPal,Mobile,77,111,18,19,49,No,0
TXN00000112,CUST01162,2023-07-27,18:23:52,241.34,Chase ATM,ATM,"Los Angeles, CA",Purchase,Credit Card,Mobile,74,168,127,1,5,No,0
TXN00000113,CUST01471,2023-04-28,10:10:08,299.77,Best Buy,Electronics,"Dallas, TX",Purchase,Debit Card,Mobile,79,48,342,17,41,No,0
TXN00000114,CUST00645,2024-06-20,01:03:34,160.77,Chase ATM,ATM,"Phoenix, AZ",Purchase,Credit Card,POS Terminal,57,51,81,0,32,No,0
TXN00000115,CUST00436,2024-02-05,07:31:05,64.11,Best Buy,Electronics,"Phoenix, AZ",Subscription,PayPal,Mobile,38,43,253,8,27,No,0
TXN00000116,CUST01343,2024-04-14,08:46:20,17.96,McDonald's,Food & Beverage,"Miami, FL",Purchase,PayPal,POS Terminal,33,98,436,2,4,No,0
TXN00000117,CUST01023,2024-06-04,00:07:17,109.08,Walmart,Retail,"Miami, FL",Transfer,Credit Card,Tablet,62,177,220,1,41,No,1
TXN00000118,CUST00811,2023-03-22,21:20:52,43.81,Chase ATM,ATM,"San Jose, CA",Transfer,PayPal,Desktop,35,124,342,3,48,No,0
TXN00000119,CUST01317,2023-02-09,03:56:05,2196.15,Shell Gas,Gas & Fuel,"Houston, TX",Purchase,Debit Card,ATM,64,80,96,15,7,No,1
TXN00000120,CUST00940,2023-12-07,01:40:52,142.54,Amazon,E-commerce,"Phoenix, AZ",Transfer,Debit Card,Tablet,70,111,51,0,46,No,0
TXN00000121,CUST00293,2023-12-22,01:37:33,25.87,Target,Retail,"Miami, FL",Purchase,Debit Card,ATM,41,143,174,8,14,No,0
TXN00000122,CUST00543,2023-03-28,03:54:02,81.56,Uber,Transportation,International - Canada,Purchase,PayPal,Mobile,43,27,337,7,39,Yes,0
TXN00000123,CUST00286,2023-03-24,05:58:02,301.74,Netflix,Subscription,"Los Angeles, CA",Purchase,Debit Card,Desktop,42,158,181,5,24,No,0
TXN00000124,CUST00506,2024-04-19,05:53:49,490.28,McDonald's,Food & Beverage,"Chicago, IL",Purchase,PayPal,Tablet,77,164,427,19,48,No,0
TXN00000125,CUST01150,2024-04-18,12:48:31,83.83,Starbucks,Food & Beverage,"Chicago, IL",Transfer,Credit Card,Mobile,77,113,352,17,18,No,0
TXN00000126,CUST01104,2023-03-21,02:57:28,105.39,Best Buy,Electronics,"New York, NY",Purchase,Credit Card,Tablet,77,86,390,15,38,No,1
TXN00000127,CUST00539,2024-03-12,21:15:15,239.3,Amazon,E-commerce,"Las Vegas, NV",Purchase,Gift Card,Desktop,62,114,114,7,39,No,0
TXN00000128,CUST01198,2023-02-02,14:22:01,39.54,Amazon,E-commerce,"Dallas, TX",Purchase,Bank Transfer,POS Terminal,58,124,347,3,40,No,0
TXN00000129,CUST00878,2024-01-30,00:51:51,184.33,CVS Pharmacy,Healthcare,"Denver, CO",Transfer,Bank Transfer,Mobile,46,49,0,2,1,No,0
TXN00000130,CUST01196,2023-03-23,21:00:18,171.2,Shell Gas,Gas & Fuel,"Miami, FL",Purchase,Bank Transfer,POS Terminal,32,76,62,14,17,No,0
TXN00000131,CUST00818,2023-05-10,17:58:07,230.52,Airbnb,Travel,"Miami, FL",Transfer,Bank Transfer,Desktop,62,55,247,5,26,No,0
TXN00000132,CUST00742,2024-05-04,06:40:26,115.98,Shell Gas,Gas & Fuel,"Boston, MA",Purchase,Crypto,Mobile,18,56,230,0,22,No,0
TXN00000133,CUST00450,2023-04-02,16:47:08,18.59,Target,Retail,"Denver, CO",Refund,Debit Card,Tablet,42,95,225,17,39,No,0
TXN00000134,CUST00284,2023-06-09,12:40:36,159.7,PayPal,Money Transfer,"San Jose, CA",Purchase,Credit Card,POS Terminal,24,44,422,10,18,No,0
TXN00000135,CUST01044,2023-10-08,21:25:44,42.47,Unknown Merchant,Unknown,"Boston, MA",Transfer,Credit Card,Desktop,26,159,18,2,38,No,0
TXN00000136,CUST01011,2023-05-02,23:17:55,963.98,Starbucks,Food & Beverage,"Phoenix, AZ",Purchase,Debit Card,Mobile,41,87,30,12,28,No,0
TXN00000137,CUST00187,2023-08-15,21:34:01,225.38,Target,Retail,"New York, NY",Withdrawal,Credit Card,POS Terminal,18,84,332,16,21,No,0
TXN00000138,CUST00097,2023-12-09,22:29:25,30.76,Apple Store,Electronics,"Seattle, WA",Refund,PayPal,POS Terminal,61,151,120,17,38,No,0
TXN00000139,CUST00225,2024-01-28,22:35:47,43.55,Chase ATM,ATM,"Las Vegas, NV",Refund,Credit Card,Desktop,25,156,23,13,33,No,0
TXN00000140,CUST00314,2024-01-23,02:40:53,7.62,Google Play,Subscription,"Los Angeles, CA",Transfer,PayPal,Mobile,41,16,324,6,30,No,0
TXN00000141,CUST01286,2023-03-19,02:58:43,293.69,McDonald's,Food & Beverage,"Chicago, IL",Subscription,Credit Card,ATM,28,165,470,6,42,No,0
TXN00000142,CUST00328,2023-04-30,20:16:51,61.09,CVS Pharmacy,Healthcare,"Phoenix, AZ",Purchase,Debit Card,POS Terminal,68,149,210,13,8,No,0
TXN00000143,CUST01394,2024-05-17,14:41:14,168.13,Uber,Transportation,"New York, NY",Purchase,PayPal,Mobile,34,145,448,14,30,No,0
TXN00000144,CUST00865,2023-10-10,12:32:50,63.62,Lyft,Transportation,International - Unknown,Transfer,Credit Card,Mobile,25,37,160,11,39,Yes,0
TXN00000145,CUST01222,2023-09-17,21:32:10,17.77,Bank Transfer,Money Transfer,"Los Angeles, CA",Purchase,PayPal,Desktop,52,77,254,11,9,No,0
TXN00000146,CUST00131,2023-04-18,00:15:53,156.45,Best Buy,Electronics,"Phoenix, AZ",Subscription,Credit Card,Tablet,52,147,58,7,33,No,0
TXN00000147,CUST00789,2023-04-06,12:34:40,570.51,PayPal,Money Transfer,"Atlanta, GA",Refund,Gift Card,Desktop,50,158,113,15,43,No,0
TXN00000148,CUST00782,2023-06-06,19:30:30,117.49,Google Play,Subscription,"Boston, MA",Transfer,Debit Card,Tablet,76,45,416,8,29,No,0
TXN00000149,CUST01221,2023-12-08,01:34:29,35.43,Amazon,E-commerce,"Los Angeles, CA",Purchase,Debit Card,Desktop,22,146,159,1,31,No,0
TXN00000150,CUST00959,2023-11-19,22:08:19,101.72,Unknown Merchant,Unknown,"San Antonio, TX",Purchase,PayPal,Mobile,59,62,442,13,3,No,0
TXN00000151,CUST01084,2023-01-06,02:48:04,224.97,Lyft,Transportation,"Miami, FL",Transfer,Debit Card,POS Terminal,56,164,219,15,38,No,0
TXN00000152,CUST00515,2023-07-10,13:01:22,95.37,McDonald's,Food & Beverage,"Las Vegas, NV",Transfer,Debit Card,Mobile,75,100,356,4,11,No,0
TXN00000153,CUST01134,2024-01-03,21:43:28,32.52,Unknown Merchant,Unknown,"Boston, MA",Purchase,Bank Transfer,Mobile,58,52,168,4,5,No,0
TXN00000154,CUST00024,2023-09-23,02:40:02,289.37,Netflix,Subscription,"Phoenix, AZ",Withdrawal,Credit Card,Mobile,45,19,11,19,31,No,0
TXN00000155,CUST01394,2023-08-11,17:33:43,19.79,McDonald's,Food & Beverage,"Miami, FL",Purchase,Debit Card,POS Terminal,24,109,456,17,20,No,0
TXN00000156,CUST01477,2024-01-28,06:18:21,1862.22,Amazon,E-commerce,"San Diego, CA",Purchase,Credit Card,POS Terminal,26,44,241,17,4,No,0
TXN00000157,CUST00235,2023-05-14,00:33:04,108.7,Lyft,Transportation,"San Diego, CA",Purchase,Credit Card,POS Terminal,25,7,374,4,8,No,0
TXN00000158,CUST01397,2023-03-08,04:52:27,81.15,Unknown Merchant,Unknown,"San Diego, CA",Withdrawal,Debit Card,Desktop,29,172,138,10,42,No,0
TXN00000159,CUST01100,2023-07-26,14:53:26,157.32,Walmart,Retail,"Dallas, TX",Refund,PayPal,Mobile,51,117,96,12,35,No,0
TXN00000160,CUST00547,2023-10-17,06:43:00,42.38,Venmo Transfer,Money Transfer,"Miami, FL",Transfer,PayPal,Tablet,50,68,146,2,13,No,0
TXN00000161,CUST01313,2023-11-19,08:19:16,438.79,Home Depot,Home Improvement,"Phoenix, AZ",Withdrawal,Bank Transfer,Desktop,65,34,181,16,49,No,0
TXN00000162,CUST00697,2023-10-08,02:52:49,254.46,Netflix,Subscription,"Phoenix, AZ",Purchase,Crypto,Mobile,72,69,56,17,5,No,0
TXN00000163,CUST00229,2024-05-03,21:37:10,108.34,Chase ATM,ATM,"New York, NY",Transfer,Credit Card,Tablet,40,55,41,13,40,No,0
TXN00000164,CUST00602,2024-05-31,12:24:36,290.96,Lyft,Transportation,"San Jose, CA",Purchase,Bank Transfer,Desktop,79,10,353,11,19,No,0
TXN00000165,CUST00891,2023-07-10,15:32:36,103.05,Bank Transfer,Money Transfer,"San Antonio, TX",Purchase,Crypto,Tablet,41,42,198,13,18,No,0
TXN00000166,CUST00324,2023-04-28,18:14:16,8.66,Venmo Transfer,Money Transfer,"New York, NY",Transfer,Credit Card,Desktop,54,41,30,17,33,No,1
TXN00000167,CUST00930,2024-02-16,09:23:48,15.6,Starbucks,Food & Beverage,"San Jose, CA",Refund,Credit Card,Desktop,52,122,179,19,4,No,1
TXN00000168,CUST00007,2023-11-24,13:28:18,118.33,McDonald's,Food & Beverage,"Las Vegas, NV",Transfer,Credit Card,Desktop,61,138,1,1,18,No,0
